# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.total.get.ms,1775624179637000000,1775624193557000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1775624179637000000,1775624193557000000,0
workspaceModel.cachedValue.from.cache.ms,1775624179637000000,1775624193557000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1775624179637000000,1775624193557000000,0
workspaceModel.check.recursive.update.ms,1775624179637000000,1775624193557000000,0
workspaceModel.cachedValue.clear.ms,1775624179637000000,1775624193557000000,0
workspaceModel.to.snapshot.ms,1775624179637000000,1775624193557000000,0
workspaceModel.initializing.ms,1775624179637000000,1775624193557000000,0
workspaceModel.loading.from.cache.ms,1775624179637000000,1775624193557000000,33
workspaceModel.updates.ms,1775624179637000000,1775624193557000000,0
workspaceModel.update.unloaded.entities.ms,1775624179637000000,1775624193557000000,0
workspaceModel.updates.precise.ms,1775624179637000000,1775624193557000000,0
workspaceModel.init.bridges.ms,1775624179637000000,1775624193557000000,0
workspaceModel.replace.project.model.ms,1775624179637000000,1775624193557000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775624179637000000,1775624193557000000,3
workspaceModel.collect.changes.ms,1775624179637000000,1775624193557000000,0
workspaceModel.loading.total.ms,1775624179637000000,1775624193557000000,44
workspaceModel.cachedValueWithParameters.total.get.ms,1775624179637000000,1775624193557000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1775624179637000000,1775624193557000000,0
writeAction.wait.ms,1775624179637000000,1775624193557000000,0
writeAction.max.wait.ms,1775624179637000000,1775624193557000000,0
writeAction.count,1775624179637000000,1775624193557000000,1
writeAction.median.wait.ms,1775624179637000000,1775624193557000000,0
